EP01: IN
EP01: おはよう　ニコラ | 早上好 妮可拉
EP05: 手段は問わぬ　デバッグストーンさえ手に入れば　わしが喰ってやる | 不论用何种手段 只要拿到调试石 让我吃掉就行
EP05: AIなら　ワープして取ってくるとかできんじゃねえのか | 既然你是AI 就不能传送过去取吗
EP05: わしはプレイヤーへの直接的な関与や　ルールを逸脱した行為はできぬ | 我无法直接干涉玩家或是做出超出规则的行为
EP05: じゃあ　あんたは何ができるんだ | 那你到底能做什么
EP05: 急におなかが… | 突然肚子痛…
EP05: まさか　何もできねえんじゃねえだろうな？ | 难不成她什么都做不了？
EP05: まずは城を見て　それからどう潜入するか考えましょう | 先观察下城堡 后面在考虑怎么潜入吧
EP05: そうだな | 说得对
EP05: あの丘の上にある監視塔から城下町を一望できる | 从那边山丘的瞭望塔上能一览整座城镇
EP05: 明日登ろう | 明天爬上看看吧
EP05: 気持ち悪いです | 好难受
EP05: ポーションって胃にきくのかな | 这药水能治胃痛吗
EP05: これは… | 这是…
EP05: 魔改造されてますね | 被魔改成这样了
EP05: 俺がいた頃はあんなんじゃなかった | 我离开前还不是这样
EP05: これじゃあ正面からの潜入は無理だな | 这下可没法正面潜入了
EP05: 城への橋をきっちり落としてやがる | 通往城堡的大桥都断掉了
EP05: 穴の底　何か動いてるように見えますけど | 坑底好像有什么东西在动
EP05: あれ… | 像是…
EP05: 人が | 人
EP05: モンスターの餌にされてる | 被怪物吃掉了
EP05: 衛兵みたいだけど | 好像是士兵
EP05: 社長たちを追ってきた部隊だろう | 是来追捕社长他们的部队吧
EP05: どういうことですか | 什么意思
EP05: 俺が抜ける頃　あいつら「街の人全員殺す大作戦」とかやって | 我离开时 他们在搞什么「屠城大作战」
EP05: 山のようにNPCを殺してるからな | 杀掉的NPC尸体都堆成山了
EP05: そのせいで　ペナルティを与えるための衛兵が押し寄せたんだろう | 因此 惩罚机制召来了大量卫兵
EP05: たぶん　いちいち対処するのが面倒になって　穴掘ったな | 他们可能嫌一次次处理起来太麻烦 就挖了这个坑
EP05: まずいなあ | 这下麻烦了
EP05: 城の門兵にわざと捕まって中へ侵入しようと思ってたんですよ | 我还想着能故意让守门士兵抓起来 借机潜入呢
EP05: でもこれじゃあ　そもそも近付けない | 但这样一来就连靠近都做不到
EP05: 緊急事態だ | 情况紧急
EP05: ハガ　デバッグモード使えや | 羽贺 用调试模式吧
EP05: いや　それは… | 这个…
EP05: おい　どこ行くんだ | 喂 你要去哪
EP05: ちょっと | 稍等
EP05: えっと… | 我看看…
EP05: これが丁度いいな | 这个正合适
EP05: 何してんだよ | 你在做什么
EP05: さっさとデバッグストーン使えって | 快用调试石吧
EP05: いや　これで使わなくて済むんです | 不用 有这个就够了
EP05: えっと　メモを確認 | 等等 我确认下笔记
EP05: よし | 好
EP05: イッテー | 好痛
EP05: よし | 继续
EP05: 二回 | 两拳
EP05: ハガさん？ | 羽贺先生？
EP05: 三回 | 三拳
EP05: 四 | 四
EP05: 五 | 五
EP05: 六 | 六
EP05: おい　何してるんだ | 喂 你在做什么
EP05: 七 | 七
EP05: 八 | 八
EP05: アマノさん　インビジビリティの魔法の効果　何秒ですか | 天野先生 隐身魔法效果能持续几秒
EP05: 15秒ってとこかな | 15秒左右
EP05: 了解です | 明白了
EP05: では… | 那么…
EP05: 九 | 九
EP05: 見張りがいる可能性があるので | 可能有守卫看着
EP05: ちょっと | 等一下
EP05: ハガさん | 羽贺先生
EP05: 半分くらいのところまで行ったらインビジビリティをお願いします | 拜托到一半左右时就使用隐身魔法
EP05: 何の話してんだよ | 你在说什么
EP05: 今からあそこの城門まで… | 现在我们要朝着那边城门…
EP05: 飛びます | 飞过去
EP05: 飛ぶ？ | 飞？
EP05: どうなってんだ | 这是怎么回事
EP05: 物理演算が引き起こす宝箱バグです | 是物理演算引发的宝箱BUG
EP05: 破壊できないオブジェクトを固定して殴ると | 攻击处于固定位置的不可破坏物品
EP05: 殴った方向に力が溜まるので | 就能积攒朝攻击方向的动力
EP05: その力を利用すればスーパージャンプができるんです | 利用积攒的动力 就能实现超级跳跃
EP05: グリッチか　なるほどな | 卡BUG吗 原来如此
EP05: アマノさん　インビジビリティを | 天野先生 用隐身魔法
EP05: おっと　すまん | 哦对 抱歉
EP05: このままベイル城に突入します | 就这样一口气冲进贝伊鲁城
EP05: よーし　もう少しで着きます | 很好 马上就到了
EP05: ２人とも　大丈夫ですか | 两位 都还好吗
EP05: かばってくれたおかげでなんとかな | 幸好你帮忙挡着 没啥大问题
EP05: お前は | 你呢
EP05: 大丈夫…です | 没…问题
EP05: ったく　無茶なヤツだな | 真是的 你也太乱来了
EP05: そ…空飛んだ | 我…我飞上天了
EP05: 大量のポーション持つわけだわ | 怪不得你要带这么多药水
EP05: とりあえず　潜入は成功みたいです | 姑且算是成功潜入了
EP05: 貴様ら何者だ | 你们是什么人
EP05: キングスシーカーです | 我们是王国探索者
EP05: 王への謁見を願います | 请求谒见国王
EP05: 待ってろ | 等会
EP05: このボディチェックって毎回あるんだよな | 每次都要搜身啊
EP05: テンポ悪すぎだろ | 太影响游戏节奏了
EP05: 城内のマップのロード時間を稼いでるんですよ | 是为了拖时间 加载城堡内地图吧
EP05: よし　進め | 可以了 进去吧
EP05: どうしました | 怎么了
EP05: 今　何か違和感ありませんでした | 你们刚刚有没有感觉不对劲
EP05: 賢帝ベイルの命により　災厄の原因であるシーカーを全員捕らえることとなった | 奉贤帝贝伊鲁之名 前来捉拿带来灾厄的探索者
EP05: おとなしくしたがってもらう | 请乖乖跟我们走吧
EP05: ハガさん | 羽贺先生
EP05: ハガ　これはあれだな | 羽贺 这是那个吧
EP05: メインクエスト始まっちゃってるな | 触发主线剧情了
EP05: そうですね | 应该是的
EP05: てっきりもう少し先で始まると思ってたんですけど | 我还以为要在前面点才触发呢
EP05: 助けてください　私たち無実です | 救命啊 我们是清白的
EP05: 資料には「城に入ったら」って書いてありましたし | 资料里写着「进城之后」才会触发剧情
EP05: 開発担当もそんな正確にや書かねえだろう | 开发人员也没描述得那么准确吧
EP05: 仕様書あるだけマシだと思うぞ | 能有任务说明就不错了
EP05: さあ来い | 走吧
EP05: でも　かえって都合よかったかもしれないですね | 不过 这样一来说不定还更方便了
EP05: そうだな | 确实
EP05: 何かの間違いです | 肯定是有什么误会
EP05: ここから出してください | 请放我们出去吧
EP05: ジャーナルが更新されてる | 任务书有更新
EP05: 城から脱出するまでがクエストみたいですね | 目前的任务是要逃出城堡
EP05: やっと捕まえたか | 总算抓住了吗
EP05: NPCのくせにやるじゃん | 区区NPC挺能干的嘛
EP05: ありがとうございます | 多谢夸奖
EP05: どうやって切り刻もうかな | 看我怎么把你大卸八块
EP05: こちらです | 就是这里
EP05: 通常　ゲームのプレイヤーは同じオープンワールドにいますが | 通常 游戏玩家都被放在同一个开放世界中
EP05: メインクエスト時はパーティー同士が干渉し合わずに済むよう | 但在主线任务中 为了防止队伍间相互干涉
EP05: 別空間に振り分けられます | 会为队伍分配独立的空间
EP05: つまり　今僕たちは他の人たちのいる空間とは完全に切り離されているはずです | 也就是说 目前我们所在的空间与其他人完全隔开
EP05: ヴァンパイアちゃん　遊ぼうか | 吸血鬼弟弟 来玩吧
EP05: このダンジョンにいるのは俺たちだけってことだよな | 也就是说这座迷宫里只有我们
EP05: ってことは | 这样一来
EP05: じっくり偵察できるな | 能好好侦察了
EP05: じっくりデバッグできますね | 能好好做测试了
EP05: あのな　通しプレイくらいの意識でいろよ | 我说 剧情到一半你好歹体验完吧
EP05: ルゥの敵討ちが優先だ | 现在应该优先给露报仇
EP05: でも何があるかわからないし | 但谁也不知道接下来会发生什么
EP05: デバッグしながら進めないと危険ですよ | 不一边测试一边前进的话太危险了
EP05: とりあえずここから出よう　話はその後だ | 总之我们先离开这里吧 其他的之后再说
EP05: はい | 好
EP05: たぶんどこかに… | 应该有哪里…
EP05: ここから出してください | 请放我们出去吧
EP05: うるさい　静かにしろ | 吵死了 安静点
EP05: なんだ | 你干嘛
EP05: ここ　なんか脆そうです | 这里感觉很薄弱
EP05: 脱出できそうですね | 应该能从这逃出去
EP05: お約束だな | 果然
EP05: まあ　それはいいとして | 先不提任务
EP05: だから誤解なんです | 都说了只是误会
EP05: お助けください | 请救救我们吧
EP05: アイツを早くなだめてやれよ | 赶紧让她冷静下来吧
EP05: お前らだけで詰められないのか | 你们两个就不能想想办法吗
EP05: すみません　一向にまとまらなくて | 对不起 他们根本不听指示
EP05: 久しぶりのドラゴン狩りなんで | 都好久没猎龙了
EP05: みんないろいろやりたいことがあるみたいで | 大家都有各自想做的事
EP05: 社長の手腕でまとめちゃってくださいよ | 还得靠社长来统合大家啊
EP05: 社長 | 社长
EP05: 失礼します | 打扰了
EP05: このよいしょの儀式　もう勘弁なんですけど | 我真不想继续迎合他了
EP05: うざそうにするくせに | 跟他说 他嫌我们烦
EP05: 勝手にやったらやったって　ぐちぐちうるさいからね | 我们自作主张他又要说三道四
EP05: まあ　どうせこの世界の酒じゃ酔えやしねえんだけどな | 算了 反正这个世界的酒怎么也喝不醉
EP05: 牢屋からは簡単に出られたが | 虽说逃出监狱很轻松
EP05: 本番はここから | 但重头戏还在后面
EP05: って | 我说
EP05: デバッグやってる場合か | 现在是做测试的时候吗
EP05: ハガ　今のクエスト目標はどうなってる | 羽贺 现在任务的目标是什么
EP05: ちょっと待ってください | 稍等一下
EP05: とりあえず衛兵長を倒さないとですね | 目前得先打倒卫兵长
EP05: 最初の中ボスってとこか | 第一个中BOSS吗
EP05: あの先だな | 就在那前面吧
EP05: ここは？ | 这里是？
EP05: 拷問部屋だ | 是拷问室
EP05: 広さ的に　ここで衛兵長戦がありそうですね | 看房间大小 这里应该就是和卫兵长战斗的地方
EP05: そうだな | 应该没错
EP05: 戦闘の前に使えそうなもん拾っておこう | 开打前先找些能用得上的东西吧
EP05: はい | 好的
EP05: ハガさん　ハガさん | 羽贺先生 羽贺先生
EP05: あの | 请问
EP05: これって… | 这是…
EP05: 何に使う道具なんでしょうか | 是做什么用的道具呢
EP05: 武器？魔法のロッドみたいですね | 武器？像是魔杖呢
EP05: ちょっと　振り回しちゃダメ | 停下 不要挥来挥去
EP05: やめなさい | 快停下
EP05: 拷問道具ってことか | 这是拷问道具吗
EP05: こんな道具日本版じゃ置いとけねえだろ | 这种道具不能出现在日版游戏里吧
EP05: モロですもんね | 毕竟太露骨了
EP05: 探し出して全部リスト化しなきゃ | 得全部找到列出来才行
EP05: ハガさん　今度はこんなの見つけちゃいました | 羽贺先生 我又找到了这个
EP05: もう　すごいいっぱいある　なんで | 真是的 怎么会有这么多
EP05: レーティングの問題で　バグってわけでもないだろ | 这是游戏分级问题 不算BUG吧
EP05: 状況だけざっくり報告しとけ | 把情况大致报告一下就行了
EP05: でもこれ　一個でも残ってたら発売できないですよ | 但是这种东西留下一个 游戏就发售不了了
EP05: 俺らデバッガーがこうなってる以上　すでに訴訟もんだ | 我们调试员的现状就足以控告游戏公司了
EP05: どっちみち　こんなゲーム発売できるか | 不管怎样 这种游戏都不可能发售
EP05: でも… | 但是…
EP05: ハガさん | 羽贺先生
EP05: だからよしなさい | 都叫你别玩了
EP05: ニコラさん | 妮可拉小姐
EP05: 衛兵長か | 卫兵长吗
EP05: これって　化け物じゃねえか | 这不是只怪物吗
EP05: You **** | 你这****
EP05: Don't you wanna get banged | 想要被我干吗
EP05: And which **** you want me to do | 想我怎么****你呢
EP05: Tell me exactly what you want me to do | 快告诉我 想要我怎么做
EP05: I'm going to suck your **** looking at your **** | 我要一边看着你的****一边舔你的****
EP05: もしかして　日本語音声入ってないのか | 难道没给他装日语语音吗
EP05: しかも不適切な言葉だらけ | 还净说的些下流粗口
EP05: お前　英語できるのか | 你会英语吗
EP05: ええまあ　少し | 嗯 会一点
EP05: 無駄にスペックの高いヤツだな | 这家伙会的还挺多
EP05: I'm a genius at taking all kinds of **** pain | 我擅长各种****虐待
EP05: And turn it into **** | 我会让你****
EP05: ああ　もうこのダンジョンバグありすぎ | 这座迷宫BUG实在太多了
EP05: こっちでタゲ取って注意引くんで | 我来吸引它的仇恨
EP05: アマノさんはチクチクと攻撃をお願いします | 麻烦天野先生尽力发动攻击
EP05: ニコラさんは下がってください | 妮可拉小姐请躲起来
EP05: 了解 | 明白
EP05: I look forward to the moment when your voice dies | 我期待着你求饶的那一刻
EP05: And your please turn to despair | 再让你陷入绝望
EP05: #露 喜爱漫画的善良之人长眠于此
EP05: #三日后
EP05: #卡BUG…有用的BUG，即作弊技巧。
EP05: #瞭望塔
EP05: #在可以眺望到贝伊鲁城的几座山丘上建有被称为「龙之眼」的瞭望塔。
EP05: #多数的塔朝向只有外海的西方而建，
EP05: #原因不得而知。
EP05: #格斗家
EP05: #以自己的拳头作为武器的战士。
EP05: #集中精神的全力一击甚至可以击碎岩石。
EP05: #主线任务 「狂乱的贤帝」 逃离贝伊鲁城 ·逃离监狱
EP05: #主线任务 「狂乱的贤帝」 逃离贝伊鲁城 ·逃离监狱 ·打倒卫兵长
EP05: OUT

EP06: IN
EP06: アソビングの社長とデバッガーたちが根城とするベイル城へ | 游戏ing的社长与调试员们的据点 贝伊鲁城
EP06: 僕たちは忍び込むことに成功した | 我们成功潜入其中
EP06: 目的は悪質なデバッガーのデバッグストーンを奪い　無力化すること | 目的是夺走恶劣调试员的调试石 回收他们的权限
EP06: そしてアマノさんは　ルゥさんの復讐のために | 而天野先生则是为了替露报仇
EP06: 強制的に始まったメインクエストをこなしながら　僕たちは城の中心部を目指す | 我们一边被迫推进主线任务 一边向着城堡中心前进
EP06: そのとき　目の前に立ちふさがったのは | 这时 有人挡住了我们
EP06: I look forward to the moment when your voice dies | 我期待着你求饶的那一刻
EP06: And your please turn to despair | 再让你陷入绝望
EP06: 殴り | 打击
EP06: 突き | 突刺
EP06: 体当たり | 撞击
EP06: 単純なバターンだ | 攻击模式很单一
EP06: ニコラさん | 妮可拉小姐
EP06: 今から言うことを書きとって | 把我接下来的话记下来
EP06: お前には攻撃こないから　落ち着け | 他不会攻击你的 冷静点
EP06: はい | 好的
EP06: 「メインクエスト「狂乱の賢帝」にて」 | 「在主线任务「狂乱的贤帝」中」
EP06: 「拷問室内に　張形のようなオブジェクトが　散見されます」 | 「拷问室中可见大量形似假阳具的物品」
EP06: 「問題ないかどうか　ご確認いただけますでしょうか」 | 「请确认是否需要修复」
EP06: 次 | 下一条
EP06: 「同メインクエストにて」 | 「同一主线任务中」
EP06: 「衛兵長のボイスが　英語のままに　なっております」 | 「卫兵长的语音仍为英语」
EP06: 「なお　英語音声では　コンプライアンス上不適切な表現が使用されています」 | 「另外 在其英语语音中 使用了不合规范的表达」
EP06: 「念のためご報告いたします」 | 「以防万一 作此报告」
EP06: 無傷で倒せた | 无伤打倒了
EP06: お疲れさまです | 辛苦了
EP06: 確認お願いします | 请确认一下
EP06: ありがとうございます | 谢谢
EP06: あれ　拷問官？ | 咦 拷问官？
EP06: さっきは確か衛兵長って | 之前是卫兵长吧
EP06: 表記揺れか　これも報告っと | 文本错误吗 这个也得报告
EP06: 報告したバグって　治るんだよな | 报告的BUG会被修复吧
EP06: まあ　簡単なものは | 简单的BUG是会
EP06: 開発と連絡取れるんなら | 既然能和开发团队取得联系
EP06: 俺らをログアウトさせるくらい　すぐにできそうなもんだけどな | 让我们登出游戏不是很轻而易举吗
EP06: 妙な話ですよね | 很奇怪吧
EP06: ログアウトできないって報告だけは毎日上げてるんですけど | 即使我每天都在报告无法登出的问题
EP06: ハガさん　ログアウトってなんですか | 羽贺先生 登出是什么意思
EP06: えっと… | 这个嘛…
EP06: それはつまり　この世界から僕たちが… | 就是我们从这个世界…
EP06: ハガ | 羽贺
EP06: それより　ジャーナル見せてくれ | 快 给我看看任务书
EP06: はい | 好的
EP06: わかるわけねえんだから　説明しなくていい | 她不可能明白的 不用解释
EP06: でも… | 但是…
EP06: メタ情報与えて　変なバグ生まれたらどうする | 告诉她超出认知的信息 导致奇怪的bug怎么办
EP06: 確かに　そうですね | 确实有道理
EP06: ジャーナル更新されてます | 任务书更新了
EP06: キトラ？ | 奇多拉？
EP06: これが… | 这就是…
EP06: キトラ | 奇多拉
EP06: 下で衛兵たちを襲ってたモンスターかな | 是在下面袭击卫兵的怪物吗
EP06: 倒して脱出ってことは… | 打倒并逃走 这么说…
EP06: これがボスで　倒したらメインクエストが終わるってことですよね | 这就是BOSS 打倒它主线就结束了吧
EP06: おそらくな | 应该是的
EP06: ニコラさん　ここまでは届かないから平気だよ | 妮可拉小姐 他够不到这里 放心吧
EP06: さて　この先の作戦をいったんまとめます | 那么 先拟定好之后的作战计划
EP06: アマノさんの話だと | 根据天野先生所说
EP06: 社長を中心としたトップダウンの組織のようですから | 他们是以社长为核心的上下级组织
EP06: 上から無力化しましょう | 自上而下回收权限吧
EP06: つまり最優先は　社長のデバッグストーンを奪うこと | 也就是说要优先夺走社长的调试石
EP06: そのためには見つからないよう　社長に近づく必要があります | 为此得不被社长发现 悄悄接近
EP06: そこで | 为此
EP06: メインクエスト空間とオープンワールド空間が分かれている | 游戏的主线任务空间和开放世界空间相互分隔
EP06: このゲームの特性を利用します | 我们可以利用这一特性
EP06: なるほどな | 原来如此
EP06: お前の言いたいことがわかってきたぞ | 我明白你的意思了
EP06: ちょっとかせ | 给我一下
EP06: 要するに… | 简单来说…
EP06: こういうことだな | 是像这样吧
EP06: まず　ボスを倒さず | 首先 不杀死BOSS
EP06: メインクエストを維持したまま城に入る | 维持主线任务状态下进入城堡
EP06: はい | 没错
EP06: そして社長の部屋に忍び込んで | 然后潜入社长的房间
EP06: その状態で時限爆弾を使用してボスを倒します | 在此状态下用定时炸弹杀掉BOSS
EP06: すると | 这样一来
EP06: メインクエストをクリアしたことになって | 主线任务就完成了
EP06: 社長の部屋にいながら　オープンワールド空間に復帰するってわけです | 我们就可以在社长的房间里回到开放世界空间
EP06: しかし　そんな都合よくいくか | 但是 真的能这么顺利吗
EP06: クリアした瞬間　ここに戻るとか | 会不会完成的瞬间被传送回来
EP06: もしうまくいかなくても　僕らにリスクはないじゃないですか | 就算失败了 我们也没什么风险不是吗
EP06: ということで | 就这么决定了
EP06: ボスを放置したまま　この地下牢から城に入るルートを探しましょう | BOSS先暂时不管 先找到从这里进入城堡的方法吧
EP06: なんかお前　イキイキしてんな | 怎么感觉你好像很兴奋的样子
EP06: 本来ないはずのルートとか見つけるの　ワクワクしません | 发掘本不存在的路线 你不兴奋吗
EP06: しねえよ | 兴奋个鬼啊
EP06: てか　まんまデバッグの仕事じゃねえか | 话说 这不就是测试的工作吗
EP06: それやりたいだけだろ | 你就只是想干这个吧
EP06: ニコラ　アマノさん | 妮可拉 天野先生
EP06: 出口まで流される | 要被冲到出口去了
EP06: まずい　このままだと | 不好 这样下去就完了
EP06: すみません | 抱歉
EP06: 一人でどれだけ鍛えてきたんだ　お前 | 私下到底花了多少功夫锻练啊 你小子
EP06: あれは？ | 那里是？
EP06: で | 然后啊
EP06: 一応社長呼びに行ったんですよ | 姑且我也去叫过社长了
EP06: なのに結局来やがらねえし | 结果他还是不来
EP06: ありがちなヤツだ | 常有的事
EP06: しかしさ | 不过
EP06: 社長最近変じゃねえ | 你不觉得最近社长很奇怪吗
EP06: ああ　わかるかも | 我也这么觉得
EP06: ボーッとしてたり　急にイライラしたり | 要么发呆 要么突然生气
EP06: そう　態度がコロコロ変わる | 就是 翻脸比翻书还快
EP06: 正直　付き合うのしんどいときあんだよな | 说实话 有时实在是受不了他啊
EP06: 誰も言う人いないから気づけないんでしょうね | 没人跟他说 他自己也没注意到吧
EP06: 賢い人は抜けちゃったし | 聪明人都离他远远的
EP06: この間も　いきなり | 之前也是 突然说教起来
EP06: 「このままでいいと思ってんのか」とか説教したしさ | 说什么「你觉得这样下去可以吗」
EP06: クソ　考えてたらイラついてきて | 混蛋 光想想就来气
EP06: 誰のせいでこうなって思った | 我们这样都是谁害的啊
EP06: ちょっと　集中集中 | 等等 注意注意
EP06: ああ　やっべ | 完了
EP06: もう血飲ませても復活しませんね | 喂它喝血也已经复活不了了
EP06: やっちまった | 玩过头了
EP06: また仕入れるのめんどくせえ | 又得再搞一只来 太麻烦了
EP06: まっ　これも社長のせいってことで | 这也怪到社长头上好了
EP06: よし | 好了
EP06: で　あとは… | 接下来…
EP06: 眠らせました | 我让它睡着了
EP06: これで安全でしょう | 这下就安全了
EP06: お前　なんでも調合するのな | 你真是什么药都会炼啊
EP06: ちょっと登って　あの吹き抜け確認してきますね | 我爬上去看看那个通风口的情况
EP06: アマノさん　あの… | 天野先生 那个…
EP06: マンガはもう描かないんですか | 你还会继续画漫画吗
EP06: いえ　その… | 不是 那个…
EP06: 続きはどうなるのかなって　急に思い出したんで | 就是突然想起来 想问问后面的剧情发展
EP06: 水路　また落ちるぞ | 小心水渠 别又掉下去了
EP06: ありがとうございます | 谢谢提醒
EP06: マンガは　また描くよ | 我还会继续画漫画的
EP06: たぶん　いつか | 总有一天
EP06: 上　バッチリ抜けられます | 这里有路可以上去
EP06: 爆発までの時間はどのくらいだ | 大概多久后爆炸
EP06: ２時間ってとこですね | 两个小时左右吧
EP06: つか　爆薬多すぎじゃねえか？ | 话说炸药会不会太多了？
EP06: 念には念を　ですよ | 以防万一
EP06: ニコラさん　これ持っててもらえますか | 妮可拉小姐 能帮我拿着这个吗
EP06: はい | 好的
EP06: 燃えつきそうになったら　声かけてください | 蜡烛快要烧光的时候提醒我一下
EP06: 下の爆弾が爆発する時間なので | 那时候下面的炸弹差不多也要爆炸了
EP06: はい　わかりました | 好的 知道了
EP06: 狭いから　気を付けて | 这里很窄 小心点
EP06: はい | 好的
EP06: 貯蔵庫か何かでしょうか | 这里是什么储藏室吗
EP06: ぽいね | 好像是
EP06: とにかく進もう | 抓紧赶路吧
EP06: しかし　狭いな | 不过这也太窄了
EP06: これ　ヤバイぞ | 这下完蛋了
EP06: 二人とも　静かに振り向いて | 大家注意 慢慢转过来
EP06: 走れ | 跑起来
EP06: 前に一匹いる　何でだ | 前面有一只 怎么回事
EP06: たぶんあれは　最初から配置されてるヤツです | 估计这是一开始就设置好的
EP06: 俺が下手こかなきゃ | 都怪我不小心
EP06: アイツだけ倒して終了だったってことか | 原本打倒那一只就能结束的
EP06: クソ | 可恶
EP06: けど　ここで戦えば　どんどん数が増えて積んじまうぞ | 要是在这打起来 会被越来越多的怪物包围的
EP06: 増えて？ | 变多？
EP06: そうか | 对了
EP06: ハガさん？ | 羽贺先生？
EP06: お前　何してんだ | 你在做什么啊
EP06: ダメです　これ以上は | 不要再打了
EP06: これは | 怎么了
EP06: うごきがおかしい | 动作好奇怪
EP06: まさか処理落ち | 难道服务器卡了
EP06: 周りに大量のモンスターが出現したから | 因为周围出现的怪物太多
EP06: 処理が追いつかずに動きがスローになってるんだ | 服务器处理不过来 动作就变卡顿了
EP06: これでよけながらいけます | 这样就能边躲边跑了
EP06: そうか | 我明白了
EP06: 動きがわかれば　すり抜けられる | 只要知道它们的动作 就能躲过去
EP06: まだ来る | 又追过来了
EP06: 走って | 快跑
EP06: 助かったんですね | 我们得救了
EP06: ハガさんすごいです | 羽贺先生太厉害了
EP06: ビビりのお前にしちゃ　思い切った判断だったな | 平时胆子挺小 关键时刻倒是很果断嘛
EP06: まあ　一応前に試したこともあったんで | 其实我之前就试过这样
EP06: タイミングを少しでも間違えたら終わってたけどな | 不过若是时机稍有不对 我们就都完蛋了
EP06: そうですね | 你说得对
EP06: とにかく急ごう | 我们快行动吧
EP06: はっ　緊急会議？ | 什么 紧急会议？
EP06: そうらしいよ　15分後だってさ | 是啊 说是15分钟后
EP06: また始まった　社長の気まぐれ | 又开始了 社长真是随心所欲
EP06: だな　俺もさすがに疲れてきたわ | 就是 我都要受不了了
EP06: なあ | 我说
EP06: その前に一回　みんなで集まれね | 在那之前 要不大家先提前开个会
EP06: みんなって | 哪些人
EP06: みんなつったら　アソビングのデバッガー全員に決まってんだろ | 我这么说 当然是游戏ing所有的调试员了
EP06: ただし　社長は除く | 不过 社长除外
EP06: 城の中心部に入ったぞ | 我们进到城堡的中心了
EP06: ここから城内を通じて　社長のいる塔にたどり着けるはずだ | 这里连通各处 一定能通往社长所在的塔楼
EP06: メインクエストは継続中です | 主线任务还在进行中
EP06: 問題は起きないみたいだな | 看来一切正常
EP06: よし　ここから俺が案内する | 很好 接下来就由我来带路
EP06: ハガ　ここの鍵　シーフのスキルで開けてくれ | 羽贺 用你的盗贼技能把这锁打开
EP06: はいはい | 好的
EP06: しっかし　俺らのパーティー編成めちゃくちゃバランス悪いよな | 不过我们的队伍构成真是毫无平衡可言啊
EP06: シーフとシャーマンとただの村人 | 盗贼 精灵使 一般村民
EP06: アタッカーもタンクもヒーラーもいねえって | 输出 坦克 治疗都没有
EP06: ただの村人 | 一般村民
EP06: アマノさんは精霊魔法をどれくらい使えるんですか | 天野先生能使用多少精灵魔法呢
EP06: 実は初期状態から全然伸ばしてねんだ | 其实我完全没升过级
EP06: てか　オメーこそなんでシーフなんだよ | 话说为什么你会是盗贼啊
EP06: その体ならタンクやれよ | 你这身板就该去当坦克啊
EP06: いや　鍵開けとか便利なスキルが多かったんで | 因为盗贼开锁之类的实用技能很多
EP06: 私も… | 我也能…
EP06: もっと強くなれるでしょうか | 变厉害吗
EP06: やっべ　しまった | 糟糕 说错话了
EP06: もっとハガさんのお役に立ちたいんです | 我希望能帮羽贺先生更多忙
EP06: おい　ハガ | 喂 羽贺
EP06: はい | 对了
EP06: ここを片付いたら　町のギルドに行って職探ししましょう | 等这边告一段落 我们就去镇子的公会选职业吧
EP06: 何かぴったりの　見つかりますよ | 肯定能找到适合你的职业
EP06: はい | 好
EP06: とにかく今は先を急ぎましょう | 还是先解决当务之急吧
EP06: NPCのモブすらいないな | 连路人NPC都没有吗
EP06: メインクエスト中は　本来は入れない設定なんでしょう | 毕竟原本设定 主线任务中是到不了这里的
EP06: 入れちゃうこと自体　報告しておかないと | 得报告一下我们进来的情况
EP06: ここの広間を抜けて　その先の階段から社長の部屋までは一本道だ | 穿过这座大厅 沿着楼梯直走就是社长的房间
EP06: モンスター　かな | 是怪物吗
EP06: アマノさん　知ってます | 天野先生 你知道吗
EP06: 知らん　見たこともない | 不知道 之前没见过
EP06: 地下から城へ入れるのも問題 | 能从地下进入城内是个问题
EP06: 追記で　存在しないはずのモンスターがおりますと | 外加本不该存在的怪物
EP06: 時間もないし　考えてもしゃあないな | 没时间考虑这么多了
EP06: インビジビリティ | 隐身魔法
EP06: 見つかってる | 被发现了
EP06: バフ　もらっていいですか | 你能加BUFF吗
EP06: 戦うしかないかも | 只能跟他打了
EP06: ウィンドシールドを一枚やる | 给你加一层风之盾
EP06: 一撃なら無効化できるはずだ | 应该能挡下一发攻击
EP06: マジックポーションです | 这是法力药水
EP06: バフが切れたらすぐつけ直してください | BUFF断掉请立刻帮我续上
EP06: クソ　時間がないのに | 可恶 本来时间就不够了
EP06: ハガさん | 羽贺先生
EP06: 一撃でかくねえか | 这一击也太重了
EP06: アマノさん　万が一死んだら | 天野先生 万一我死了
EP06: リスポーンできるんですかね | 应该能复活吧
EP06: コイツ　死に覚えタイプかも | 要打倒他 一条命可能不太够
EP06: リスポーンはゲーム的にゃあると思うんだが | 游戏中应该是能复活的
EP06: でも試したヤツは知らねんだ | 但是我不知道有谁试过
EP06: ここまでリアルに体感できるゲームだ | 毕竟是体验如此真实的游戏
EP06: 簡単には試せねえよな | 不会有人轻易去尝试
EP06: アマノさん | 天野先生
EP06: ウィンドシールド | 风之盾
EP06: 帰るぞ | 回去吧
EP06: はっ？ | 什么？
EP06: いい加減飽きた | 我已经玩腻了
EP06: 社長　それってログアウトを目指すってことですか | 社长 您是说要我们想办法登出游戏吗
EP06: ああ　目標をそっちに切り替える | 对 这就是我们的新目标
