EP01: IN
EP01: おっす | 早
EP06: 会話のラリーが続いたし | 对话有来有回
EP06: シンってならなかったし | 也没有冷场
EP06: 毎回　さっきみたいになればいいのに | 要是每次都像刚才那样就好了
EP06: 緊張し過ぎないようにハキハキと | 为避免紧张 说话要干脆利落
EP06: 今どこ　そっち迎えに行くわ | 你在哪 我去接你
EP06: もっと明るく　感じよく | 再开朗一点 亲切一点
EP06: 今　何見える | 你在看什么
EP06: 元気に | 再活泼点
EP06: えっと… | 那个…
EP06: お久しぶりです | 好久不见
EP06: あれ　もしもし　おーい | 奇怪 喂 听得到吗
EP06: 平さ　ちょっとは表出たら | 平 你要不要去外面逛会
EP06: いい　今日は誰が来るか分かんねえし | 算了 说不准今天会有谁来
EP06: お前　せっかく変われたのに　いろいろ損するぞ | 你好不容易换了形象 躲在这多吃亏
EP06: うるせえ | 要你管
EP06: おい | 干嘛
EP06: ほらほら　外の世界も案外楽しいから | 快出去吧 外面的世界比你想的要有趣
EP06: やめろって | 我不要
EP06: ねえ | 你好
EP06: 山田って　このクラス | 山田是在这个班吗
EP06: はい | 是的
EP06: あれ　さっきまでいたんだけど | 奇怪 他刚才还在这的
EP06: そうなの | 是吗
EP06: 急に電話切れるし　どこいるんだろう | 他突然挂我电话 去哪了呢
EP06: まあ　いいや　ありがとう | 算了 谢谢你们
EP06: 自分で捜しまーす | 我自己去找吧
EP06: イッケメン | 帅哥啊
EP06: あれ　今のって… | 咦 他难道是…
EP06: 楽しかった | 好开心
EP06: ストラックアウト　景品もらえて　うれしいね | 玩投球游戏 还能拿到奖品 真高兴
EP06: 前　見ないと危ないよ | 走路不看前面很危险
EP06: はーい | 好
EP06: あれ | 咦
EP06: 鈴木さ… | 铃木同…
EP06: みゆ | 实悠
EP06: やっぱみゆじゃん | 果然是实悠
EP06: 久しぶり | 好久不见
EP06: 理人 | 理人
EP06: あれ　岡 | 咦 冈
EP06: 佐藤　久しぶり | 佐藤 好久不见
EP06: 来てたんだ | 你来了啊
EP06: おう | 嗯
EP06: 知り合い？ | 你们认识？
EP06: うん　中学の | 嗯 初中同学
EP06: 谷くん | 谷同学
EP06: こちら　中学の同級生の岡くんです | 他叫冈 是我初中同学
EP06: 岡は一人で来たの | 你一个人来的吗
EP06: いや　高校の友達と | 不 跟高中同学一起来的
EP06: 一瞬　単独行動してるだけ | 只是这会跟他们分开了
EP06: 山田と佐藤とみゆが同じクラスって聞いてたから | 我听说山田 佐藤和实悠在同一个班
EP06: 会えるかなって思って | 就想着也许能碰到
EP06: いや　ほんと久しぶり | 哎呀 真是好久不见
EP06: いつぶり | 多久没见了
EP06: 卒業ぶりくらいじゃね | 毕业后就没见过吧
EP06: 元気してた | 你过得好吗
EP06: まあ　ぼちぼち | 嗯 还行吧
EP06: 気まずい | 好尴尬
EP06: 久しぶりすぎて　無難な会話でにこにこやり過ごすことしかできないよ | 太久没见了 只能陪着笑说些有的没的
EP06: おい　山田　今すぐ来てくれ | 山田 你快来啊
EP06: いや　もうだいぶ時間たったし | 哎 都过了这么久了
EP06: 何事もなかった感じでいけんじゃね　とか思ったけど | 本来觉得只要当作一切都没发生过就行了
EP06: 全然だったわ | 看来完全不行
EP06: あのとき　変な感じにならなければ | 要是当时不发展成那样
EP06: みゆのそれ　おかしいって | 你的说法也太奇怪了
EP06: 人間誰しもビートからは逃れられんのだよ | 无论是谁 都无法脱离节奏感
EP06: どこの有識者だよ | 你又知道了
EP06: なあなあ | 喂喂
EP06: お前らさ　つきあってんの | 你们两个 在交往吗
EP06: よく二人でいるけど | 看你们总在一起
EP06: そうそう | 就是就是
EP06: めんどくせえ | 好麻烦
EP06: 違うよ | 不是哦
EP06: もう　つきあえばよくない | 你们交往得了
EP06: だよな　お似合いじゃん | 对啊 这么相称
EP06: これ　二人で全力で否定すると　余計変になるやつじゃん | 要是两个人都拼命否定 就更麻烦了
EP06: 適当に乗っといて　みゆがバシッと否定してくれれば | 我先顺着他们说 让实悠果断否定就好了
EP06: みゆ　俺とつきあえんの | 实悠 要和我交往吗
EP06: いや　どうだろう | 这个嘛
EP06: マジかよ | 不会吧
EP06: あれ | 诶
EP06: 待て待て　そんなマジに | 等下等下 怎么会这样
EP06: まあいっか | 只能接受了
EP06: お互い「まあ　無理ではない」ぐらいのノリで始まったものの | 两个人都觉得也不是不行 稀里糊涂就谈上了
EP06: 気まずい | 好尴尬
EP06: ってか　今まで何話してたっけ | 话说 以前我们都聊些什么
EP06: いつも笑ってばっかだったのに | 原本聊天那么高兴的
EP06: つきあうことになってから　全然楽しくない | 可一旦开始交往 就完全开心不起来
EP06: なんか | 要做些
EP06: つきあってるっぽいことしてみる | 交往时会做的事吗
EP06: 嫌いじゃない | 我并不讨厌
EP06: どころか　むしろ好き | 反而 还挺乐意的
EP06: 違う | 不对
EP06: うまく言えないけど間違いなく | 虽然我说不出为什么
EP06: なんか違う | 但就是不对
EP06: やっぱそうだよな | 果然没猜错
EP06: 違うよな　俺ら | 我们不适合啊
EP06: そういうノリじゃないよな | 一点感觉都没有对吧
EP06: なしなし | 这些都不算
EP06: 元に戻ろ　友達な | 还是做回朋友吧
EP06: 言わせた | 被他先说了
EP06: 空気　読ませちゃった | 让他照顾我的情绪了
EP06: ごめん | 抱歉
EP06: どうして | 为什么
EP06: 自分に非があると感じる記憶ほど | 越是心怀愧疚的记忆
EP06: 嫌な感じに引っ掛かり続けるのだろうか | 越会让人耿耿于怀呢
EP06: あの　えっと… | 呃 那个…
EP06: 謝るのも　なんか自意識過剰だし | 现在道歉 也显得有点自作多情
EP06: 私がすっきりしたいだけじゃん | 说到底 只是自己想放下包袱
EP06: みゆさ | 实优
EP06: 中学の集まり　俺がいたら来ないようにしてるだろ | 初中同学聚会 有我在的你都不会来吧
EP06: なんかさ　そういうのめんどいじゃん | 我总觉得这样太麻烦了
EP06: 気にすんな　いろいろ | 过去的事 别想太多
EP06: なっ | 好吗
EP06: また　普通に遊ぼ | 以后再一起玩吧
EP06: 俺ら　友達 | 我们是朋友嘛
EP06: はい　仲直り | 来 和好吧
EP06: イエイ | 耶
EP06: イエイ | 耶
EP06: じゃあな | 拜拜啦
EP06: ダーヤマ　捜すわ | 我去找阿山了
EP06: 理人　また空気を読ませてしまった | 理人 又在照顾我的情绪了
EP06: なに　あんたら和解してなかったの | 怎么回事 你们之前没有和解吗
EP06: なんていうか　今　やっとできたかも | 这个嘛 刚才终于和解了
EP06: なんか　過去のモヤモヤが一瞬でなかったことになってしまった | 总觉得 以前的不快一下子就消失了
EP06: いや　なんか同中組で納得してるけど | 你们同一所初中的倒能听懂
EP06: こっち　ずっと疎外感すごいから | 可我总感觉自己被排挤了
EP06: ごめん | 抱歉
EP06: ねっ　谷くん | 对吧 谷同学
EP06: 友達？ | 朋友？
EP06: じゃあ　あとは若いお二人で | 接下来就留给两位年轻了
EP06: ちょっ | 喂
EP06: というわけで　一瞬「つきあいましょ」ってなったけど | 就是这样 我们只是试着交往了一瞬间
EP06: すぐ「やっぱ違いますね」ってなって | 但很快都发现了不对劲
EP06: 変に隠す方が悪いことしてるみたいだし　全部話したけど | 刻意隐瞒反而像心虚一样 干脆全都说了
EP06: 墓穴？ | 自掘坟墓？
EP06: ちょっと　変な失敗しただけで | 虽然是闹了个奇怪的误会
EP06: 彼は今も昔も友達なんですよ | 但我们从始至终都是朋友
EP06: そう | 是吗
EP06: 腑に落ちてる | 你能明白吗
EP06: 谷くんは過去がある女は嫌なのだろうか | 谷同学会不会讨厌有过往的女生呢
EP06: 私は　谷くんが初めての彼氏だと思ってる | 我一直认为谷同学就是我的初恋
EP06: 機嫌取らせてごめん | 抱歉 让你照顾我的情绪
EP06: これ　僕自身の問題な気がする | 我想 这是我自己的问题
EP06: ちょっと　頭整理してくる | 让我整理下思绪吧
EP06: りっちゃん | 小理
EP06: お前　どこ行ってたんだよ | 你跑哪儿去了
EP06: すまん　すまん | 抱歉抱歉
EP06: でも　おかげでみゆと仲直り　できたわ | 不过也因此 我和实优和好了
EP06: お前ら　仲悪かったっけ | 啊 你们关系不好吗
EP06: じゃなくて　なんかわかるだろ | 也不是啦 你知道的吧
EP06: いや　わかるけど… | 知道 但还是…
EP06: まあ　いろいろなかったことにしようぜって感じ | 总之 就是让过去的事情都过去了
EP06: 俺は自分の失敗　ちゃんと覚えておくよ | 过去的失败 我会牢牢记住的
EP06: つか　俺　恋愛うんぬんよりもはるかに | 不过我啊 比起什么恋爱不恋爱的
EP06: 「友達に嫌われたくねえ」の方が強いんかも | 还是更希望不要被朋友们讨厌吧
EP06: はあ | 什么
EP06: りっちゃん嫌いなヤツなんていなくね | 不会有讨厌你的人吧
EP06: ヤマ | 阿山
EP06: どういう意味 | 什么意思
EP06: 「僕自身の問題」とは | 什么叫「我自己的问题」
EP06: ただのやきもちっしょ | 大概只是吃醋了吧
EP06: 理人とは本当に何もなかったのに | 我和理人真的什么也没有发生过
EP06: まあ　りっちゃんイケメンだし | 不过阿理确实长得帅啦
EP06: たとえ見た目がよくても　仲がよくても　それが男子でも | 就算他长得帅 我和他关系也不错 还是异性
EP06: 私にとっては「イコール恋愛」になるわけじゃないんだって　あのとき学んで | 但我那时就长了教训 这些并不能等同于恋爱
EP06: 何もなかったわけじゃない | 并非什么都没发生
EP06: ちゃんと　反省と後悔がある | 我认真地反省后悔过
EP06: にしても　初カレとか　初カノとか | 话说回来 初恋男友 初恋女友
EP06: いいなあ　ピュアって感じで | 真好啊 给人纯洁的感觉
EP06: もう私は経歴が濁り過ぎて | 我的经历就浑浊不堪了
EP06: 違う　関係ない | 不对 和这没关系
EP06: 過去の潔白だとか　初めてだとか | 过去的清白也好 初恋也罢
EP06: 過去に何もない方がピュアみたいなの変だよね | 什么都没做过才叫纯洁 这种想法很奇怪吧
EP06: どした　なんかスイッチ入った | 你怎么了 怎么转变这么快
EP06: たとえ私が　過去に100人抱いた女だとしても | 就算我过去睡过一百个人
EP06: 抱い？ | 睡过？
EP06: 今　これから　目の前の人と真摯に向き合おうって思ったなら | 但只要我现在真心对待眼前的人
EP06: それはもうピュアじゃんね | 这难道不算纯洁吗
EP06: よっしゃ　谷くんのとこ行ってこよう | 好了 我要去谷同学那
EP06: すごっ | 牛啊
EP06: なんか　恋してえ | 有点 想谈恋爱了
EP06: すいませ… | 不好意…
EP06: なんだ　平か | 原来是平啊
EP06: おい | 喂
EP06: 自分が知らない交友関係があることぐらい　初めから分かってることなんだけど | 虽然我一开始就明白 她有我不知晓的人际关系
EP06: 過ぎた出来事にモヤモヤしたってしかたない | 但我仍对她过往的事情介怀不已
EP06: ただ | 只是
EP06: 「また　普通に遊ぼ」 | 「以后再一起玩吧」
EP06: 今とこの先の些細なことが気になって | 我变得在意眼下和未来的些许小事
EP06: どうして日に日に　自信が付くどころか　欲が出て | 为什么我不能更加自信 反而日益贪心呢
EP06: 心が狭くなるんだろう | 为什么内心会愈发狭窄呢
EP06: 谷くん | 谷同学
EP06: 好きだよ | 我喜欢你
EP06: 谷くん　私ね… | 谷同学 我…
EP06: 谷くんのうそがなくて　はっきりしてるところ　大好き | 我喜欢你坦诚直率的一面
EP06: けど　たまに | 可是 有时候
EP06: 「全然大丈夫ですけど」みたいな感じで | 你也会嘴上说着「没问题」
EP06: 実はグルグル考えてることあるでしょ | 但是心里其实很在意吧
EP06: いいよ | 没关系的
EP06: はっきりしなくても　考えてる途中でも | 就算还没想清楚 就算还在纠结
EP06: なんかモヤモヤしてるなら　なんかモヤモヤしてるって教えてよ | 心烦意乱的时候 就把你心中的烦闷告诉我吧
EP06: 表彰式を始めますので | 颁奖仪式即将开始
EP06: 生徒の皆さんは体育館に集まってください | 请全体学生到体育馆集合
EP06: このままここにいちゃおっか | 我们就这样待在这儿吧
EP06: 他人と自分を　比べてもしかたないのに | 明明没有必要将自己和他人比较
EP06: 勝手にモヤモヤして | 但我仍因此心烦意乱
EP06: それで　モヤモヤしてる自分が嫌になった | 我讨厌这样的自己
EP06: そっち　私にじゃなくて | 介意这个吗 原来不是我
EP06: モヤモヤさせてごめんね | 抱歉让你心烦意乱了
EP06: いや | 没有
EP06: ほかには | 还有别的吗
EP06: 鈴木さん　ああいう人好きそうって思った | 我以为铃木同学会喜欢那种人
EP06: そんなこと言いだしたら | 你要这么说
EP06: 私より　谷くんにお似合いな人だっていっぱいいるわけじゃん | 那比我更适合你的人 岂不是有一大堆
EP06: いないよ | 才没有
EP06: いるよ | 有的
EP06: 誰 | 谁
EP06: 知らんけど | 不知道
EP06: なんだ　このやり取り | 什么呀 莫名其妙的
EP06: みゆ | 实优
EP06: って　みんなから呼ばれてたの | 大家之前都是这么称呼你的吗
EP06: いや　そうでもないんだけど | 没有 倒也不是
EP06: 理人の場合は　逆張り　的な感じで | 理人的话 比较特立独行吧
EP06: 理人 | 理人
EP06: 谷くん | 谷同学
EP06: 言いたいことあるなら言ってください | 有什么想说的就说吧
EP06: いや　いい | 没 没事
EP06: ２年７組 | 二年七班
EP06: じゃあ　悠… | 那 悠…
EP06: 谷悠介　鈴木みゆ | 谷悠介 铃木实优
EP06: 体育館まで移動しなさい | 请抓紧到体育馆集合
EP06: バレた | 被发现了
EP06: じゃあ　行こっか　悠介くん | 走吧 悠介同学
EP06: もう誰もいないや | 走廊都没人了
EP06: 二人で呼び出されたの　絶対あとでいじられるなあ | 被一起点名 待会大伙又得调侃我们了
EP06: ねえ　悠介さん | 对吧 悠介同学
EP06: 無理に呼ばなくていいから | 不用强行那么叫我啦
EP06: #文化祭企划
EP06: #二年七班
EP06: #虽然我一次工都没打过 但等上了大学 我想去书店试试
EP06: #是吗～
EP06: #那就没办法了
EP06: #要不要电话聊？
EP06: #抱歉 我现在在外面…
EP06: #已读
EP06: #OK！
EP06: #男生耐性
EP06: #他当然没注意到
EP06: #很少接触
EP06: #在意（喜欢…？）
EP06: #关系好
EP06: #正常的喜欢
EP06: #有实际恋爱经验 单相思成功率 0%
EP06: #尽管如此 也还算是段美好回忆…
EP06: #输掉猜拳后外出采购
EP06: #对女生的窃窃私语有心理阴影
EP06: #毫不知情的女生
EP06: #文化祭 第1天（仅限学生·教职工）
EP06: #你赢了
EP06: #天文馆
EP06: #祈求完售
EP06: #文化祭 第2天（接待游客）
EP06: #叫也很正常吧…
EP06: #茸茸咖啡
EP06: #日式小摊
EP06: #密室逃脱
EP06: #休息处
EP06: #摄影部展览
EP06: #展览
EP06: #欢迎
EP06: #轻慢慢欣赏
EP06: #摄影部展览
EP06: #略微
EP06: #看上去很有「女人缘」…
EP06: #初中三年级
EP06: #铃木
EP06: #理人
EP06: #已经没法说是在开玩笑了…
EP06: #随波逐流
EP06: #不置可否
EP06: #其实不知道
EP06: #所以我才喜欢中学同学
EP06: #我要着眼「现在」
EP06: #好好享受今天吧 铃
EP06: #那为什么现在还叫名字
EP06: #聚会上会见到那个人吗
EP06: #菅田健
EP06: #清纯系
EP06: #再多说些你俩的事吧 丽奈
EP06: #我也是 渡
EP06: #还有我 山（我不认识）
EP06: #致铃木同学
EP06: #以后也多多关照
EP06: #声音太大了
EP06: #太吵了
EP06: OUT

EP07: IN
EP07: 高校　楽しくない | 高中好没意思
EP07: 中学　戻りたい | 好想回到初中
EP07: お前　それ　ずっと言ってんな | 你怎么老爱讲这句
EP07: 地元しか勝たん | 老家最棒了
EP07: さすがに死語だろ | 这词还有人用吗
EP07: 文化祭　高校の友達と来てたじゃん | 你不是跟高中朋友一起来文化祭了吗
EP07: 友達　一人一人はいいヤツなんよ | 朋友一个个都是好人
EP07: 学校全体の空気が合わん | 但我和学校整体的氛围不搭
EP07: 暗い？ | 太沉闷了？
EP07: そう　常にシンって感じ | 对 总是死气沉沉的
EP07: 圧倒的にバカが少ない | 周围都没几个笨蛋
EP07: それ　俺ら　どう思ったらいいの | 听了你这话我们该怎么想
EP07: 学力じゃなくて　ノリの話ね | 我不是说成绩 而是氛围
EP07: 中３の放課後って　最高だったよなあ | 初三放学后的时间真是太棒了
EP07: 山田とみゆと三人で放課後勉強会やってた頃 | 跟山田和实优三个人的放学后学习会
EP07: マジで楽しかったな | 真是快乐极了
EP07: ほぼしゃべってたやつね | 其实基本都在聊天吧
EP07: 中身ない話でゲラゲラ笑ってた記憶しかないや | 只记得我们因为些不着调的话傻笑了
EP07: そう　それがいい | 要的就是这个
EP07: 勢い怖っ | 怎么这么激动
EP07: 受験生ではあるものの　部活のない自由な放課後っていう解放感 | 就算面临升学考 那种没有社团活动的放学后自由时间
EP07: 卒業まで悔いなく過ごそうっていう気持ちの高まり | 以及要在毕业前不留遗憾地度过每一天的心情
EP07: 教室にさし込む西日　エモさ | 教室里的夕阳余晖 那份哀伤
EP07: なんか語りだしたよ | 他已经忘我了
EP07: 途中から　山田が彼女つくって　不在がちになったけど | 虽然后来山田交了女朋友 渐渐不来了
EP07: ほんとね | 就是说啊
EP07: おい　別にそれ　俺悪くないだろ | 喂 那总不能说我有错吧
EP07: たまに夕方あたりに　意味なく中学んときの通学路とか散歩したりしてる | 我偶尔会在傍晚时分 无意义地在初中的上学路上徘徊
EP07: 大丈夫か | 你还好吧
EP07: 中学んときに歌った合唱曲とか聴くと　ちょっと泣きそうになるんだよな | 听到初中的合唱曲时 眼泪也会忍不住打转
EP07: 大丈夫じゃなかった | 看来不太好
EP07: 楽しんでる瞬間って　今自分が当たりの環境にいるって気付けねえんだよ | 人身处在快乐的环境里时 是很难对此有所察觉的
EP07: って　りっちゃんが言ってて | 小理是这么说的
EP07: なんか大変だなって | 感觉他真不容易啊
EP07: はあ | 什么
EP07: 過去にとらわれ過ぎだろ　そいつ | 那家伙太沉浸于过去了吧
EP07: 冷てえ | 你好冷漠
EP07: 他人の中学楽しすぎたエピほど共感できんものはない | 听别人讲初中有多快乐 没什么比这更难共情了
EP07: つか　なんでその会合にしれっと　鈴木もいるんだよ | 话说 为什么铃木也跟你们在一起啊
EP07: ええんか　谷 | 你无所谓吗 谷
EP07: うん　なんか　大丈夫かなって | 嗯 我觉得无所谓吧
EP07: いろいろ考え過ぎるのも信用してないみたいで　失礼な気がするし | 想太多也显得缺乏信任 这样很没礼貌
EP07: 気にしてくれてありがとう | 谢谢你的关心
EP07: 何自信付けてんだよ | 你怎么这么有自信
EP07: ダメなの | 不可以吗
EP07: ちくしょうが | 可恶的家伙
EP07: なんにする | 点什么好呢
EP07: 今日はチキンカレーの気分 | 今天想吃咖喱鸡肉
EP07: じゃあ　私　チキンハヤシ | 那我吃鸡肉饭
EP07: そういえば　こいつも… | 话说 这家伙也是…
EP07: 「好きになりにいってるんかも　今」 | 「也许我会逐渐喜欢上她」
EP07: 結局　あのあとどうなったんだ | 所以那之后怎么样了
EP07: 進展あったんか | 有进展了吗
EP07: いや　山田から言いだすまで聞くのはやめとこ | 算了 还是等他自己说吧
EP07: うまくいってなかったら　掛ける言葉がないし | 如果进展不顺利 也不知道该说什么
EP07: うまくいってたとしても　掛ける言葉がない | 就算进展顺利 我也没什么好说的
EP07: 俺って… | 我这人…
EP07: 文化祭当日　山田に何があったかというと | 说起文化祭当天山田身上发生了什么
EP07: これ　撮ったやつ | 这是你拍的吗
EP07: うん | 嗯
EP07: すごっ | 厉害
EP07: どうしよう | 怎么办
EP07: また緊張して　会話が… | 好紧张 又讲不出话…
EP07: 夏休み連絡くれてたのに　返信下手でごめんなさい | 暑假你明明联系了我 可我不太会回消息 对不起
EP07: 拒絶したみたいになって　ごめんなさい | 结果好像是在拒绝你一样 对不起
EP07: あのさ | 话说
EP07: あの | 那个
EP07: どうぞ | 你先说
EP07: ごめん | 抱歉
EP07: 連絡とか　いろいろ | 我发的消息 还有各种事
EP07: 「親しくなかったら　いきなり連絡先聞かれんの怖くね」 | 「突然被不熟的人问联系方式 不可怕吗」
EP07: 俺　しつこかったかなって | 我在想 自己是不是太烦人了
EP07: 距離感っつか　なんていうか | 没把握好距离感 还是怎么说
EP07: もうちょっと考えて行動するわ | 做事前应该再多想想的
EP07: ごめん | 抱歉
EP07: 西さん言いかけたの　何 | 西同学想说什么呢
EP07: えっと | 那个
EP07: 私もごめんなさい | 我也要道歉
EP07: スマホ　今まで親と連絡取るとか | 我用手机 要么是和父母联系
EP07: ホンちゃんとか　仲のいい女の子と　たまにメッセージ送り合うぐらいしか使ってなくて | 要么就是和小本 和关系好的女生互相发发消息
EP07: 変なこと書いてないかとか　間違ってないかとか | 担心自己说奇怪的话 或者写错字
EP07: 考え過ぎちゃって　遅くなるし | 想得太多 每次都回很慢
EP07: そのくせ　やたら長い文章送りつけちゃうし | 所以发出来的消息也都超级长
EP07: 電話は無言になったらどうしようとか　考え過ぎちゃって | 电话聊也怕自己说不出话 总之就是考虑太多
EP07: けど | 可是
EP07: 嫌だったわけじゃないんです | 我并不是讨厌你
EP07: 失敗するのが怖くて考え過ぎちゃって | 总是害怕失败 考虑过多
EP07: 私はもっと　考え過ぎないようになりたい | 我希望自己能改掉这个毛病
EP07: 真逆じゃん | 和我完全相反
EP07: 俺　返信来たら | 我一旦收到回信
EP07: うれしくて　なんも考えず　即返してたわ | 就会很开心地直接回复
EP07: 別に　変なこと言ってるとか思わなかったし | 我并没有觉得你说了什么奇怪的话
EP07: つか俺　西さんが思うより　ずっと細かいこと気にしてないっていうか | 不如说 我其实比西同学想的要大大咧咧得多
EP07: 失敗すりゃいいじゃん　俺相手に | 失败也没事 反正对象是我嘛
EP07: そもそも　そんな気遣うような相手じゃねえし | 说到底 我也没那么需要别人顾虑
EP07: タメじゃん　俺ら | 这样不行吗
EP07: で　ウザかったら「ウッゼえ」でいいし | 你觉得烦的时候就说「你好烦」
EP07: うるさかったら「うるせえ　バーカ」っつって | 如果觉得我啰嗦就说「闭嘴啦 白痴」
EP07: 言わないよ　そんな口調 | 我才不会用这种语气说话
EP07: 「うるさいですわ」 | 「你话有点多啊」
EP07: そこまでお上品では | 也不会这么委婉啦
EP07: りっちゃん　しまった | 坏了 忘记小理了
EP07: そろそろ出るわ | 我该走了
EP07: ありがとう | 谢谢啦
EP07: 学校で話しかけんのはいい | 我能在学校找你聊天吗
EP07: もちろん | 当然可以
EP07: じゃ　またしゃべろう | 那以后再聊
EP07: というふうに　なんだかんだ　少しだけ前進していたのであった | 总之不管怎么说 两人总算是有了一点进展
EP07: こいつが文化祭あたりから　妙に機嫌いいことも | 这家伙从文化祭开始心情就莫名地好
EP07: さっきから　明らかに誰かを捜してることも | 从刚才开始就明显在找什么人
EP07: つっこまねえぞ　俺はつっこまねえぞ | 但我是不会吐槽的 不会吐槽
EP07: 山田くん　誰か捜してる | 山田同学在找人吗
EP07: ガパチョ | 河童
EP07: つっこまねえからな | 我可不会吐槽
EP07: 何も考えるな　俺 | 什么都不要想
EP07: っていうか　そもそも | 不过说到底
EP07: 山田も谷も普通にいいヤツだもんな | 山田和谷 本身人就挺不错的
EP07: そりゃ誰かに好かれるだろうし | 有人喜欢也是理所应当
EP07: 本人もそれを受け止められるんだよな | 他们也有资格接受别人的喜欢
EP07: ごめん　平くん | 抱歉 平同学
EP07: なんか　思ってた性格と違うわ | 感觉你性格和我想的不一样
EP07: 嫌なことを思い出すな | 别想不开心的事了
EP07: 山田のツレが言う | 山田的朋友说
EP07: 中学が楽しすぎて　高校が楽しくないってのも | 初中过得太开心 到高中就没意思了
EP07: 要は対比的な話で | 其实是相对来说
EP07: 自分で選べない小学校　中学校の方が地獄っていうか | 小学中学自己没得选 比高中还要地狱
EP07: そこで認められてたなら　俺からすれば十分羨まし | 能在那里被认可 在我看来已经很让人羡慕了
EP07: いや　しゃべってねえのかよ | 不是 你没说话啊
EP07: だまされた　だまされた | 上当了上当了
EP07: 俺の音楽タイム　邪魔しやがって | 竟敢打扰我的音乐时间
EP07: おい　笑ってんじゃねえぞ | 喂 你笑什么
EP07: 笑ってないよ | 我没笑
EP07: 笑えや | 倒是笑啊
EP07: 平が駅の方向じゃない | 平没往车站走
EP07: ってことは　今日はバイトある日だな | 这么说今天是打工的日子
EP07: おうよ | 答对了
EP07: じゃあ　コンビニの方回って帰ろうか | 那就去便利店逛一圈再回去吧
EP07: ねっ　谷くん | 好吗 谷同学
EP07: なんでだよ | 为什么啊
EP07: いいよ | 好啊
EP07: 「いいよ」じゃねえんだわ | 好你个头
EP07: ちょっとストップしてくから　ソフト作ってよ | 我们就待一会 给我们做冰淇淋吧
EP07: うちの店にその機械ねえよ | 我们店里没那种机器啦
EP07: つか　着いてすぐは　まだ前のヤツのシフトだから | 而且到的时候还没到我换班呢
EP07: 谷くん　待てる | 谷同学 你能等吗
EP07: 帰れや | 给我回去
EP07: そこは悩むんかい | 你在纠结什么
EP07: おかしい | 好好笑
EP07: つか　なんで俺いるときばっか来んだよ | 话说 为什么老在我上班的时候来啊
EP07: 平いた方が楽しいじゃん | 有平在才好玩嘛
EP07: ねっ　谷くん | 对吧 谷同学
EP07: うん | 嗯
EP07: あっそ | 是吗
EP07: まあ　いっか | 也是 算了吧
EP07: さっき買ったアイス　当たりだった | 刚才买的冰棍中奖了
EP07: はよ帰れ | 快点走啦
EP07: 山田くん | 山田同学
EP07: どうしよう　挨拶 | 怎么办 要打招呼吗
EP07: 自分から　いける | 我能做到吗
EP07: 「失敗すりゃいいじゃん　俺相手に」 | 「失败也没事 反正对象是我嘛」
EP07: よし | 好
EP07: 西さん | 西同学
EP07: いや | 呀
EP07: 「いや」？ | 「呀」？
EP07: いや　えっと | 不 那个
EP07: こちらから挨拶しようと意気込んでいたら　先を越されました | 我本来想鼓起勇气主动打招呼的 被你抢先了
EP07: なんそれ　意気込んでんの面白っ | 什么鼓起勇气啊 真好笑
EP07: 面白がられてしまった | 被他笑了
EP07: ホンちゃん | 小本
EP07: おはよう | 早上好
EP07: はよ | 早
EP07: おはよう | 早上好
EP07: なんだ　その顔 | 你这什么表情
EP07: なんだかんだ仲よくやってんじゃん | 总归还是关系变好了嘛
EP07: ニッシ的にさ | 小西看来
EP07: 今のところ　山田ってどうなの | 到目前为止 山田怎么样
EP07: ドキドキするん | 会有些心跳加速
EP07: だけど | 但是
EP07: だけど？ | 但是？
EP07: なんていうか | 怎么说呢
EP07: この気持ちは何なんだろうって | 我不明白这种心情是什么
EP07: この気持ちは　一体なんだろう | 这种心情 到底是什么
EP07: それ　リアルで言う人いるんだ | 现实中居然真有人这么说
EP07: なんでこんなに胸の奥がチクチクするんだろう的な | 那种不知为何心会刺痛的感觉吗
EP07: いや　そんなファンシーな感じではなくて | 没有 倒也没那么梦幻
EP07: ノットファンシー | 并不梦幻
EP07: 山田くんにドキドキしてるのか | 到底是因为山田同学心跳加速
EP07: シチュエーションにドキドキしてるのか | 还是因为那种情境而心跳加速
EP07: 正直　分からないの | 说实话 我搞不懂
EP07: 思ったよりリアリスティック | 比我想象的要现实
EP07: 男の子としゃべったことがなさすぎて | 我和男生说话实在太少
EP07: 何にドキドキしてるのか分からないぐらいドキドキしちゃう | 就算心跳得厉害 也搞不懂究竟是为什么
EP07: 山田くんじゃなかったとしても同じぐらいドキドキしてそう | 就算对象不是山田同学 我可能也会心跳加速
EP07: あららら　なるほど | 原来如此 我懂了
EP07: けど　まあ　ニッシが鈍感系ヒロインすぎなくて安心しちゃったな | 不过还好你没那么像迟钝系女主 让我安心了
EP07: ごめん　気にしないで | 抱歉 没什么
EP07: っていうか　シチュ萌えだったとしても問題なくない | 话说 就算是「情境心动」也没问题吧
EP07: なんか　誰でもいいみたいじゃない | 听起来好像谁都可以一样
EP07: それは… | 这倒是…
EP07: 考えてもしかたなくない | 考虑太多也没用
EP07: 要はシチュエーションにドキドキしてた場合 | 简单说 如果你是因为情境心跳加速
EP07: 山田じゃないほかの誰かだったとしても　ドキドキしてたんじゃないか | 就算换成山田之外的其他人 你是不是也会这样
EP07: ってことに引っ掛かるんだよね | 你在纠结这个对吧
EP07: です | 是
